Original,Traduzido
Neurological symptom,Sintoma neurológico
Neuroma,Neuroma
Neuromuscular block prolonged,Bloco neuromuscular prolongado
Neuromuscular toxicity,Toxicidade neuromuscular
Neuromyopathy,Neuromiopatia
Neuropathic arthropathy,Artropatia neuropática
Neuropathy,Neuropatia
Neuropathy peripheral,Neuropatia periférica
Neurosis,Neurose
Neurotoxicity,Neurotoxicidade
Neurotransmitter level altered,O nível de neurotransmissor alterado
Neutropenia,Neutropenia
Neutropenia aggravated,Neutropenia agravada
Neutropenic colitis,Colite neutropênica
Neutropenic enterocolitis,Enterocolite neutropênica
Neutropenic infection,Infecção neutropênica
Neutropenic sepsis,Sepse neutropênica
Neutrophil count decreased,A contagem de neutrófilos diminuiu
Neutrophil count increased,A contagem de neutrófilos aumentou
Neutrophil percentage increased,A porcentagem de neutrófilos aumentou
Neutrophilia,Neutrofilia
Neutrophilic dermatosis,Dermatose neutrofílica
Nevus,Nevus
Nicotine dependence,Dependência da nicotina
Nicotine poisoning,Envenenamento por nicotina
Nicotinic acid deficiency,Deficiência de ácido nicotínico
Nicotinic effects,Efeitos nicotínicos
Night blindness,Cegueira noturna
Night cramps,Cólicas noturnas
Night sweats,Suores noturnos
Nightmare,Pesadelo
Nipple disorder,Transtorno do mamilo
Nipple pain,Dor no mamilo
Nipple swelling,Inchaço do mamilo
Nipple tenderness,Sensibilidade do mamilo
Nitrogen balance negative,Equilíbrio de nitrogênio negativo
Nocardiosis,Nocardiose
Nocturia,Noctúria
Nocturia aggravated,Noctúria agravou
Nocturnal confusion,Confusão noturna
Nocturnal dyspnoea,Dispnea noturna
Nocturnal emission,Emissão noturna
Nocturnal enuresis,Enurese noturna
Nodal arrhythmia,Arritmia nodal
Nodal block,Bloco nodal
Nodal rhythm,Ritmo nodal
Nodal tachycardia,Taquicardia nodal
Nodular regenerative hyperplasia,Hiperplasia regenerativa nodular
Nodule,Nódulo
Non-Hodgkin's lymphoma,Linfoma não-Hodgkin
Non-Q wave MI,Onda não Q MI
Non-accidental injury,Lesão não acidental
Non-cardiac chest pain,Dor no peito não cardíaca
Non-cardiogenic pulmonary oedema,Edema pulmonar não cardiogênico
Non-small cell lung cancer,Câncer de pulmão de células não pequenas
Non-sustained ventricular tachycardia,Taquicardia ventricular não sustentada
Nonconvulsive status epilepticus,Status não conversivo epilepticus
Noninfectious peritonitis,Peritonite não infecciosa
Nontoxic goiter,Bócio não tóxico
Normochromic normocytic anaemia,Anemia normocítica normocrômica
Normocytic anemia,Anemia normocítica
Nose infection NOS,Infecção no nariz nos
Nosocomial pneumonia,Pneumonia nosocomial
Nuchal rigidity,Rigidez nucal
Numbness,Dormência
Numbness facial,Dormência facial
Numbness generalized,Dormência generalizada
Numbness in fingers,Dormência nos dedos
Numbness in leg,Dormência na perna
Numbness lips,Dormência lábios
Numbness of limbs,Dormência dos membros
Numbness of tongue,Dormência da língua
Nystagmus,Nistagmo
Obesity,Obesidade
Obliterative bronchiolitis,Broquiolite obliterativa
Obnubilation,OBNUBILAÇÃO
Obsessional neurosis,Neurose obsessional
Obsessive rumination,Ruminação obsessiva
Obsessive thoughts,Pensamentos obsessivos
Obsessive-compulsive disorder,Transtorno obsessivo-compulsivo
Obsessive-compulsive personality disorder,Transtorno de personalidade obsessiva-compulsiva
Obstetric procedure complication,Complicação do procedimento obstétrico
Obstipation,Obstipação
Obstruction,Obstrução
Obstructive airways disorder,Transtorno obstrutivo das vias aéreas
Obstructive sleep apnea syndrome,Síndrome obstrutiva do sono
Occipital headache,Dor de cabeça occipital
Occipital neuralgia,Neuralgia occipital
Occult blood positive,Sangue oculto positivo
Occupational exposures,Exposições ocupacionais
Ochronosis,Ocronoe
Ocular discomfort,Desconforto ocular
Ocular hyperaemia,Hiperemia ocular
Ocular hypertension,Hipertensão ocular
Ocular icterus,Icterus ocular
Ocular sensation disorders,Distúrbios da sensação ocular
Ocular stinging,Picada ocular
Ocular surface disease,Doença da superfície ocular
Ocular toxicity,Toxicidade ocular
Ocular vascular disorder,Transtorno vascular ocular
Oculo-respiratory syndrome,Síndrome-respiratória Oculo
Oculogyration,Oculogirração
Oculogyric crisis,Crise oculogírica
Oculomucocutaneous syndrome,Síndrome oculomucocutânea
Oculorespiratory syndrome,Síndrome oculorespiratória
Odynophagia,Odófagia
Oedema,Edema
Oedema aggravated,Edema agravado
Oedema auricular,Edema auricular
Oedema due to cardiac disease,Edema devido a doença cardíaca
Oedema genital,Edema genital
Oedema labial genital,Genital labial de edema
Oedema mouth,Boca de edema
Oedema mucosal,MUCOSAL DE EDEMA
Oedema peripheral,Edema periférico
Oesophageal achalasia,Acalasia esofágica
Oesophageal atresia,Atresia esofágica
Oesophageal candidiasis,Candidíase esofágica
Oesophageal carcinoma,Carcinoma esofágico
Oesophageal discomfort,Desconforto esofágico
Oesophageal disorder,Transtorno esofágico
Oesophageal haemorrhage,Hemorragia esofágica
Oesophageal irritation,Irritação esofágica
Oesophageal motility disorder,Transtorno da motilidade esofágica
Oesophageal neoplasm,Neoplasia esofágica
Oesophageal obstruction,Obstrução esofágica
Oesophageal oedema,Edema esofágico
Oesophageal pain,Dor esofágica
Oesophageal perforation,Perfuração esofágica
Oesophageal reflux aggravated,O refluxo esofágico agravou
Oesophageal rupture,Ruptura esofágica
Oesophageal spasm,Espasmo esofágico
Oesophageal stenosis,Estenose esofágica
Oesophageal stenosis acquired,Estenose esofágica adquirida
Oesophageal ulcer,Úlcera esofágica
Oesophageal varices haemorrhage,Varizes esofágicas hemorragia
Oesophagitis,Esofagite
Oesophagitis ulcerative,Esofagite ulcerativa
Oestradiol increased,Oestradiol aumentou
Oestrogen deficiency,Deficiência de estrogênio
Oestrogen low,Estrogênio baixo
Oestrogenic effect,Efeito estrogênico
Oily hair,Cabelo oleoso
Oily skin,Pele oleosa
Olecranon bursitis,Bursite do Olecrano
Oligohydramnios,Oligo -hidramnios
Oligomenorrhoea,Oligomenorreia
Oligospermia,Oligospermia
Oliguria,Oligúria
Omphalocele,Onfalocele
Onychia,Onychia
Onychoclasis,Onychoclasis
Onycholysis,Onicólise
Onychomadesis,Onicomadese
Onychomycosis,Onicomicose
Open wound,Ferir aberto
Operative bleeding,Sangramento operacional
Ophthalmic herpes simplex,Herpes oftálmico simplex
Ophthalmic herpes zoster,Herpes oftálmico Zoster
Ophthalmoplegia,Ophthalmoplegia
Opioid abuse,Abuso de opióides
Opioid naive,Opioide ingênuo
Opisthotonus,Opistthotonus
Opportunistic infection,Infecção oportunista
Opportunistic mycosis,Micose oportunista
Oppositional,Oposição
Optic atrophy,Atrofia óptica
Optic disc vascular disorder,Distúrbio vascular do disco óptico
Optic ischaemic neuropathy,Neuropatia isquêmica óptica
Optic nerve cupping,Caminha do nervo óptico
Optic nerve disorder,Transtorno do nervo óptico
Optic neuritis,Neurite óptica
Oral candidiasis,Candidíase oral
Oral discomfort,Desconforto oral
Oral disorder,Transtorno oral
Oral fungal infection,Infecção fúngica oral
Oral herpes,Herpes orais
Oral infection,Infecção oral
Oral lesion,Lesão oral
Oral mucosa erosion,Erosão da mucosa oral
Oral mucosa sore,Mucosa oral dolorida
Oral mucosal blistering,Bolhas da mucosa oral
Oral mucosal discolouration,Descoloração da mucosa oral
Oral mucosal disorder,Transtorno da mucosa oral
Oral mucosal exfoliation,Esfoliação da mucosa oral
Oral mucosal irritation,Irritação da mucosa oral
Oral mucosal petechiae,MUCOSE ORAL PETECHIAE
Oral neoplasm,Neoplasia oral
Oral neoplasm benign,Neoplasia oral benigna
Oral pain,Dor oral
Oral papilloma,Papiloma oral
Oral pruritus,Prurido oral
Oral pustule,Pustule oral
Oral soft tissue disorder NOS,Transtorno de tecidos moles orais NOS
Oral toxicity,Toxicidade oral
Orbital oedema,Edema orbital
Orchitis,Orquite
Orchitis noninfective,Orquite não infecciosa
Organ failure,Falência de órgãos
Organic brain syndrome,Síndrome do cérebro orgânico
Organising pneumonia,Organização da pneumonia
Orgasm abnormal,Orgasmo anormal
Orgasmic sensation decreased,A sensação orgásmica diminuiu
Orofacial dyskinesia,Diskinesia orofacial
Orofacial oedema,Edema orofacial
Oromandibular dystonia,Distonia oromandibular
Oropharyngeal blistering,Blistering orofaríngeo
Oropharyngeal candidiasis,Candidíase orofaríngea
Oropharyngeal discomfort,Desconforto orofaríngeo
Oropharyngeal pain,Dor orofaríngea
Oropharyngeal spasm,Espasmo orofaríngeo
Oropharyngeal squamous cell carcinoma,Carcinoma espinocelular orofaríngeo
Oropharyngeal swelling,Inchaço orofaríngeo
Orthopnoea,Ortopneia
Orthostatic collapse,Colapso ortostático
Orthostatic dysregulation,Desregulação ortostática
Orthostatic hypertension,Hipertensão ortostática
Orthostatic hypotension,Hipotensão ortostática
Orthostatic intolerance,Intolerância ortostática
Oscillopsia,Oscilopsia
Osmolality increased,ASMolalidade aumentou
Osmotic demyelination syndrome,Síndrome de desmielinização osmótica
Osteitis,Osteíte
Osteoarthritis,Osteoartrite
Osteoarthritis aggravated,Osteoartrite agravada
Osteoarticular pain,Dor osteoarticular
Osteocalcin increased,Osteocalcina aumentou
Osteochondrosis,Osteocondrose
Osteodystrophy,Osteodistrofia
Osteogenesis imperfecta,Osteogênese imperfeita
Osteolysis,Osteólise
Osteolytic lesion,Lesão osteolítica
Osteomalacia,Osteomalácia
Osteomyelitis,Osteomielite
Osteonecrosis,Osteonecrose
Osteonecrosis of jaw,Osteonecrose da mandíbula
Osteopenia,Osteopenia
Osteoporosis,Osteoporose
Osteoporotic fracture,Fratura osteoporótica
Osteosarcoma,Osteossarcoma
Osteosarcoma metastatic,Osteossarcoma metastático
Osteosclerosis,Osteosclerose
Other acne,Outra acne
Other bacterial diseases,Outras doenças bacterianas
Other conjunctivitis,Outra conjuntivite
Other dermatoses,Outras dermatoses
Other disorders of eye,Outros distúrbios do olho
Other forms of epilepsy,Outras formas de epilepsia
Other scleritis,Outra esclerite
Other sleep disturbances,Outros distúrbios do sono
Otitis,Otite
Otitis externa,Otite externa
Otitis media,Otitis Media
Otitis media acute,Otite média aguda
Otitis media chronic,Otite média crônica
Otitis media serous,Otite media serosa
Otorrhoea,OTorrheea
Otosalpingitis,Otosalpingite
Ototoxicity,Ototoxicidade
Ovarian atrophy,Atrofia ovariana
Ovarian cancer,Câncer de ovário
Ovarian carcinoma,Carcinoma ovariano
Ovarian cyst,Cisto ovariano
Ovarian disorder,Transtorno do ovário
Ovarian enlargement,Aumento do ovário
Ovarian failure,Insuficiência ovariana
Ovarian germ cell teratoma benign,Teratoma de células germinativas ovariano Benigno
Ovarian haemorrhage,Hemorragia ovariana
Ovarian hyperstimulation,Hiperestimulação ovariana
Ovarian hyperstimulation syndrome,Síndrome de hiperestimulação ovariana
Ovarian neoplasm,Neoplasia ovariana
Ovarian pain,Dor ovariana
Overactivity,Superatividade
Overdose,Overdose
Overdose effect,Efeito de overdose
Oversedation,Operedação
Ovulation disorder,Transtorno da ovulação
Ovulation inhibited,Ovulação inibida
Ovulation pain,Dor de ovulação
Oxygen saturation decreased,A saturação de oxigênio diminuiu
PCO2,PCO2
PRL increased,PRL aumentou
Pain,Dor
Pain burning,Queima de dor
Pain during injection,Dor durante a injeção
Pain hunger,Fome da dor
Pain in arm,Dor no braço
Pain in elbow,Dor no cotovelo
Pain in extremity,Dor na extremidade
Pain in fingers,Dor nos dedos
Pain in jaw,Dor na mandíbula
Pain localised,Dor localizada
Pain neck/shoulder,Pain pescoço/ombro
Pain nerve,Nervo da dor
Pain of lower extremities,Dor de extremidades inferiores
Pain of skin,Dor na pele
Pain worsened,A dor piorou
Painful ankle,Tornozelo doloroso
Painful ejaculation,Ejaculação dolorosa
Painful erection,Ereção dolorosa
Painful red eyes,Olhos vermelhos dolorosos
Painful respiration,Respiração dolorosa
Painful response to normal stimuli,Resposta dolorosa a estímulos normais
Pallanesthesia,Pallanestesia
Pallor,Palidez
Pallor facial,PALOR FACIAL
Pallor of skin,Palidez da pele
Palmar erythema,Eritema palmar
Palmar-plantar erythema,Eritema palmar-plantar
Palmar-plantar erythrodysaesthesia syndrome,Síndrome da eritrodiastesia palmar-plantar
Palpable purpura,Purpura palpável
Palpitations,Palpitações
Pancolitis,Pancolite
Pancreatic abscess,Abscesso pancreático
Pancreatic carcinoma,Carcinoma pancreático
Pancreatic disorder,Transtorno pancreático
Pancreatic enzymes abnormal,Enzimas pancreáticas anormais
Pancreatic enzymes increased,As enzimas pancreáticas aumentaram
Pancreatic insufficiency,Insuficiência pancreática
Pancreatic necrosis,Necrose pancreática
Pancreatic neoplasm,Neoplasia pancreática
Pancreatic pseudocyst,Pseudocisto pancreático
Pancreatitis,Pancreatite
Pancreatitis acute,Pancreatite aguda
Pancreatitis acute on chronic,Pancreatite aguda no crônico
Pancreatitis aggravated,Pancreatite agravada
Pancreatitis chronic,Pancreatite crônica
Pancreatitis due to biliary obstruction,Pancreatite devido a obstrução biliar
Pancreatitis haemorrhagic,Pancreatite hemorrágica
Pancreatitis necrotising,Pancreatite necrosante
Pancytopenia,Pancytopenia
Panic attack,Ataque de pânico
Panic disorder,Síndrome do pânico
Panic reaction,Reação de pânico
Panniculitis,Paniculite
Panophthalmitis,Panoftalmite
Panuveitis,Panuveíte
Papanicolaou smear suspicious,Papanicolaou derramar suspeito
Papillary muscle rupture,Ruptura muscular papilar
Papillary thyroid cancer,Câncer de tireóide papilar
Papilloedema,Papilloedema
Papilloma,Papilloma
Papillomatosis,Papilomatose
Papule,Pápula
Papulopustular rash,Erupção cutânea papulopustular
Paracoccidioides infection,Infecção por paracoccidioides
Paradoxical pressor response,Resposta do Pressor Paradoxal
Paraesthesia,Paraestesia
Paraesthesia NEC,Paraestesia nec
Paraesthesia foot,Pé de paraestesia
Paraesthesia hand,Paraestesia mão
Paraesthesia oral,Paraestesia oral
Paraesthesia skin,Paraestesia pele
Paraesthesias and dysaesthesias,Paraestesias e dysaestesias
Parainfluenzae virus infection,Infecção pelo vírus parainfluenzae
Paralysis,Paralisia
Paralysis flaccid,Paralisia flácida
Paralysis of bladder,Paralisia da bexiga
Paranasal sinus hypersecretion,Hipersecreção do seio paranasal
Paranoia,Paranóia
Paranoid delusions,Delírios paranóicos
Paranoid reaction,Reação paranóica
Paranoid state,Estado paranóico
Paraparesis,Paraparesia
Paraplegia,Paraplegia
Paraproteinaemia,Paraproteinemia
Parasomnia,Parasomnia
Parasuicide,Parasuicida
Parathyroid disorder,Transtorno da paratireóide
Parathyroid tumour,Tumor da paratireóide
Parathyroid tumour benign,Tumor da paratireóide benigno
Paresis,Paresia
Paresthesia generalized,Parestesia generalizada
Paresthesia lips,Lábios de parestesia
Paresthesia lower limb,Parestesia Limbo inferior
Paresthesia of fingers,Parestesia dos dedos
Paresthesia of limbs,Parestesia dos membros
Paresthesia of scalp,Parestesia do couro cabeludo
Parkinson's disease,Doença de Parkinson
Parkinson's disease aggravated,A doença de Parkinson agravou
Parkinsonian gait,Marca Parkinsonian
Parkinsonian rest tremor,Tremor de descanso parkinsoniano
Parkinsonism,Parkinsonism
Parkinsonism aggravated,Parkinsonismo agravado
Paronychia,Paronychia
Parosmia,Parosmia
Parotid duct obstruction,Obstrução do ducto parotídeo
Parotid gland enlargement,Aumentação da glândula parótida
Parotid gland inflammation,Inflamação da glândula parótida
Parotid swelling,Inchaço parótido
Parotitis,Parotite
Paroxysmal atrial fibrillation,Fibrilação atrial paroxística
Paroxysmal atrial tachycardia,Taquicardia atrial paroxística
Paroxysmal nocturnal haemoglobinuria,Haemoglobinúria noturna paroxística
Paroxysmal ventricular tachycardia,Taquicardia ventricular paroxística
Pars planitis,Pars planitis
Partial hearing loss,Perda auditiva parcial
Partial permanent deafness,Surdez permanente parcial
Partial seizures,Convulsões parciais
Partial transitory deafness,Surdez parcial transitória
Partner stress,Estresse do parceiro
Patent ductus arteriosus,Patente ducto arterioso
Pathogen resistance,Resistência a patógenos
Pathological gambling,Apostas patológicas
Pectus excavatum,Pectus excavatum
Pedal pulse decreased,O pulso do pedal diminuiu
Peliosis hepatis,Peliose hepatis
Pelvi-ureteric obstruction,Obstrução Pelvi-Peretérica
